Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4603174603174603,0.84,-0.22951020796873328,0.08,0.76,0.5416666666666666,0.4517543859649123,0.08125,0.7357142857142858,0.56,0.8333333333333334,0.02804963176131938,0.23333333333333334,0.6,0.5714285714285714,0.5555555555555556,0.2857142857142857,0.625,0.5384615384615384,0.8666666666666667,0.028588845353174776,0.26666666666666666,0.6,0.375,0.6111111111111112,0.25,0.6111111111111112
1,0.4723618090452261,0.6633333333333333,-0.3983706131700876,0.23666666666666666,0.4266666666666667,0.5633802816901409,0.421875,0.25,0.38571428571428573,0.6363636363636364,0.7333333333333333,0.07266545221419345,0.2,0.5333333333333333,0.6666666666666666,0.625,0.2857142857142857,0.625,0.47619047619047616,0.7,-0.010509990609784171,0.2,0.5,0.3333333333333333,0.5333333333333333,0.16666666666666666,0.4444444444444444
2,0.5119617224880383,0.6966666666666667,-0.0492569333360794,0.2633333333333333,0.43333333333333335,0.5569620253164557,0.4846153846153846,0.275,0.45,0.6190476190476191,0.7,0.06205985134554887,0.23333333333333334,0.4666666666666667,0.5714285714285714,0.6428571428571429,0.2857142857142857,0.5625,0.5217391304347826,0.7666666666666667,0.013639783619766418,0.2,0.5666666666666667,0.3333333333333333,0.5882352941176471,0.16666666666666666,0.5555555555555556
3,0.4818181818181818,0.7333333333333333,-0.14038891197003608,0.28,0.4533333333333333,0.5714285714285714,0.4264705882352941,0.3,0.4142857142857143,0.5882352941176471,0.5666666666666667,0.05681526510249026,0.13333333333333333,0.43333333333333335,0.5,0.6153846153846154,0.14285714285714285,0.5,0.5,0.6,0.010163659349207637,0.16666666666666666,0.43333333333333335,0.4,0.5384615384615384,0.16666666666666666,0.3888888888888889
