Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5411764705882353,0.85,0.2758174921748714,0.11,0.74,0.48484848484848486,0.5495495495495496,0.11428571428571428,0.7625,0.4666666666666667,1.0,-0.0030429787022987712,0.2,0.8,0.3333333333333333,0.5,0.14285714285714285,0.75,0.42857142857142855,0.4666666666666667,-0.016692295465503975,0.26666666666666666,0.2,0.375,0.5,0.2,0.2
1,0.5560975609756098,0.6833333333333333,0.3393272618983277,0.22,0.4633333333333333,0.4696969696969697,0.5971223021582733,0.22142857142857142,0.51875,0.38095238095238093,0.7,-0.054830352085714365,0.4,0.3,0.3333333333333333,0.4444444444444444,0.2857142857142857,0.25,0.3,0.3333333333333333,-0.03508876607563794,0.3,0.03333333333333333,0.3333333333333333,0.0,0.2,0.0
2,0.5023923444976076,0.6966666666666667,-0.11598241351793229,0.3,0.39666666666666667,0.4777777777777778,0.5210084033613446,0.30714285714285716,0.3875,0.4117647058823529,0.5666666666666667,-0.03419402371053863,0.43333333333333335,0.13333333333333333,0.3076923076923077,0.75,0.2857142857142857,0.1875,0.3333333333333333,0.3,-0.028551192776933867,0.3,0.0,0.3333333333333333,0,0.2,0.0
3,0.5056179775280899,0.5933333333333334,0.07114998351770538,0.2866666666666667,0.30666666666666664,0.46511627906976744,0.5434782608695652,0.2857142857142857,0.3125,0.38461538461538464,0.43333333333333335,-0.03293181689048945,0.26666666666666666,0.16666666666666666,0.25,0.6,0.14285714285714285,0.1875,0.16666666666666666,0.2,-0.026549191861110776,0.16666666666666666,0.03333333333333333,0.2,0.0,0.06666666666666667,0.0
