Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4889705882352941,0.9066666666666666,-0.012876762307820434,0.10333333333333333,0.8033333333333333,0.5161290322580645,0.4854771784232365,0.10256410256410256,0.8125,0.4090909090909091,0.7333333333333333,-0.0008469273543821373,0.13333333333333333,0.6,0.25,0.4444444444444444,0.06666666666666667,0.5333333333333333,0.38461538461538464,0.43333333333333335,-0.05163898847008533,0.16666666666666666,0.26666666666666666,0.0,0.625,0.0,0.23809523809523808
1,0.5445544554455446,0.6733333333333333,0.12526341703462068,0.18333333333333332,0.49,0.5818181818181818,0.5306122448979592,0.20512820512820512,0.5416666666666666,0.44,0.8333333333333334,0.001955310787838246,0.3333333333333333,0.5,0.4,0.4666666666666667,0.26666666666666666,0.4666666666666667,0.47368421052631576,0.6333333333333333,0.004520402535095707,0.26666666666666666,0.36666666666666664,0.25,0.6363636363636364,0.2222222222222222,0.3333333333333333
2,0.48484848484848486,0.66,-0.22931106355260952,0.21,0.45,0.5079365079365079,0.4740740740740741,0.20512820512820512,0.4444444444444444,0.4444444444444444,0.6,0.01513400117422086,0.26666666666666666,0.3333333333333333,0.375,0.5,0.2,0.3333333333333333,0.42857142857142855,0.7,-0.0460594471927091,0.3333333333333333,0.36666666666666664,0.2,0.6363636363636364,0.2222222222222222,0.3333333333333333
3,0.5276073619631901,0.5433333333333333,0.00256628273194511,0.21666666666666667,0.32666666666666666,0.5538461538461539,0.5102040816326531,0.23076923076923078,0.3472222222222222,0.5714285714285714,0.4666666666666667,0.053492972434479626,0.16666666666666666,0.3,0.6,0.5555555555555556,0.2,0.3333333333333333,0.5,0.6,0.048563018955735976,0.2,0.4,0.16666666666666666,0.6666666666666666,0.1111111111111111,0.38095238095238093
