Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4981132075471698,0.8833333333333333,-0.54837635729365,0.11333333333333333,0.77,0.5294117647058824,0.4935064935064935,0.12080536912751678,0.7549668874172185,0.5185185185185185,0.9,0.026986462067801385,0.36666666666666664,0.5333333333333333,0.5454545454545454,0.5,0.375,0.5714285714285714,0.6,1.0,0.08224131752812174,0.4666666666666667,0.5333333333333333,0.6428571428571429,0.5625,0.5625,0.6428571428571429
1,0.5566502463054187,0.6766666666666666,0.8051528937584292,0.2633333333333333,0.41333333333333333,0.569620253164557,0.5483870967741935,0.30201342281879195,0.4503311258278146,0.5909090909090909,0.7333333333333333,0.00717057948913043,0.3,0.43333333333333335,0.6666666666666666,0.5384615384615384,0.375,0.5,0.56,0.8333333333333334,0.01922706883061409,0.3333333333333333,0.5,0.6,0.5333333333333333,0.375,0.5714285714285714
2,0.5146198830409356,0.57,0.4802139885795881,0.18,0.39,0.5,0.5213675213675214,0.18120805369127516,0.40397350993377484,0.5454545454545454,0.7333333333333333,0.001267892210774309,0.3333333333333333,0.4,0.6,0.5,0.375,0.42857142857142855,0.5652173913043478,0.7666666666666667,0.03223531840038563,0.3333333333333333,0.43333333333333335,0.6,0.5384615384615384,0.375,0.5
3,0.4759036144578313,0.5533333333333333,-0.1511053144550022,0.21666666666666667,0.33666666666666667,0.47692307692307695,0.4752475247524752,0.2080536912751678,0.31788079470198677,0.5294117647058824,0.5666666666666667,0.02370558798557801,0.3333333333333333,0.23333333333333334,0.5,0.5714285714285714,0.3125,0.2857142857142857,0.5555555555555556,0.6,0.005395452619566445,0.3,0.3,0.5555555555555556,0.5555555555555556,0.3125,0.35714285714285715
