Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4765625,0.8533333333333334,-0.36551386295020694,0.16666666666666666,0.6866666666666666,0.44,0.4854368932038835,0.14864864864864866,0.6578947368421053,0.6896551724137931,0.9666666666666667,0.16913037527436972,0.4666666666666667,0.5,0.5714285714285714,0.8,0.6666666666666666,0.6666666666666666,0.26666666666666666,1.0,-0.1326385080625683,0.43333333333333335,0.5666666666666667,0.23076923076923078,0.29411764705882354,0.2,0.3333333333333333
1,0.5209302325581395,0.7166666666666667,0.0768365479285872,0.28,0.43666666666666665,0.5238095238095238,0.5190839694656488,0.2972972972972973,0.4473684210526316,0.5555555555555556,0.9,0.05401204372749437,0.5666666666666667,0.3333333333333333,0.47058823529411764,0.7,0.6666666666666666,0.3888888888888889,0.42857142857142855,0.9333333333333333,-0.04917355674347092,0.5666666666666667,0.36666666666666664,0.4117647058823529,0.45454545454545453,0.4666666666666667,0.3333333333333333
2,0.538860103626943,0.6433333333333333,0.4606527634560304,0.31,0.3333333333333333,0.5161290322580645,0.56,0.32432432432432434,0.3684210526315789,0.6470588235294118,0.5666666666666667,0.06323522628958367,0.4,0.16666666666666666,0.5833333333333334,0.8,0.5833333333333334,0.2222222222222222,0.4375,0.5333333333333333,-0.031517725926312606,0.4,0.13333333333333333,0.3333333333333333,0.75,0.26666666666666666,0.2
3,0.5277777777777778,0.48,0.07278874331823877,0.22,0.26,0.5,0.5512820512820513,0.22297297297297297,0.28289473684210525,0.6428571428571429,0.4666666666666667,0.06502153092975624,0.3333333333333333,0.13333333333333333,0.6,0.75,0.5,0.16666666666666666,0.4166666666666667,0.4,-0.028124978998183534,0.26666666666666666,0.13333333333333333,0.25,0.75,0.13333333333333333,0.2
