Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5110132158590308,0.7566666666666667,0.2315071587995223,0.08666666666666667,0.67,0.5384615384615384,0.5074626865671642,0.0915032679738562,0.6938775510204082,0.5,0.3333333333333333,-0.004833406531214419,0.0,0.3333333333333333,0,0.5,0.0,0.29411764705882354,0.42105263157894735,0.6333333333333333,-0.011470174420860506,0.0,0.6333333333333333,0,0.42105263157894735,0.0,0.5714285714285714
1,0.5,0.6266666666666667,-0.05627377244048666,0.12666666666666668,0.5,0.5263157894736842,0.49333333333333335,0.13071895424836602,0.5034013605442177,0.0,0.1,-0.025108008260266497,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.25,0.26666666666666666,-0.02733898627114206,0.03333333333333333,0.23333333333333334,0.0,0.2857142857142857,0.0,0.14285714285714285
2,0.4744525547445255,0.45666666666666667,-0.13416465786926246,0.15333333333333332,0.30333333333333334,0.5217391304347826,0.45054945054945056,0.1568627450980392,0.2789115646258503,0.25,0.13333333333333333,-0.01213954494362829,0.06666666666666667,0.06666666666666667,0.0,0.5,0.0,0.058823529411764705,0.3333333333333333,0.3,-0.049187576816320654,0.03333333333333333,0.26666666666666666,0.0,0.375,0.0,0.21428571428571427
3,0.5289855072463768,0.46,-0.061277376562313274,0.14,0.32,0.5714285714285714,0.5104166666666666,0.1568627450980392,0.3333333333333333,0.5,0.13333333333333333,0.007211736995961452,0.03333333333333333,0.1,0.0,0.6666666666666666,0.0,0.11764705882352941,0.3333333333333333,0.3,-0.0432298652673075,0.0,0.3,0,0.3333333333333333,0.0,0.21428571428571427
