Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.49433962264150944,0.8833333333333333,-0.12600685874778597,0.15,0.7333333333333333,0.5777777777777777,0.4772727272727273,0.16774193548387098,0.7241379310344828,0.4444444444444444,0.9,-0.01992000869261531,0.1,0.8,0.3333333333333333,0.4583333333333333,0.0625,0.7857142857142857,0.4444444444444444,0.9,0.015011935164119633,0.16666666666666666,0.7333333333333333,0.2,0.5,0.07142857142857142,0.6875
1,0.4977168949771689,0.73,-0.21892269922286034,0.21,0.52,0.5555555555555556,0.47435897435897434,0.22580645161290322,0.5103448275862069,0.2857142857142857,0.7,-0.06065442042948328,0.13333333333333333,0.5666666666666667,0.0,0.35294117647058826,0.0,0.42857142857142855,0.5217391304347826,0.7666666666666667,0.025698997891331905,0.23333333333333334,0.5333333333333333,0.42857142857142855,0.5625,0.21428571428571427,0.5625
2,0.5133928571428571,0.7466666666666667,0.1713216162664769,0.2633333333333333,0.48333333333333334,0.5822784810126582,0.47586206896551725,0.2967741935483871,0.47586206896551725,0.26666666666666666,0.5,-0.07477813298053168,0.13333333333333333,0.36666666666666664,0.25,0.2727272727272727,0.0625,0.21428571428571427,0.47058823529411764,0.5666666666666667,0.022068506031580674,0.23333333333333334,0.3333333333333333,0.42857142857142855,0.5,0.21428571428571427,0.3125
3,0.5048076923076923,0.6933333333333334,-0.05663204543672905,0.2966666666666667,0.39666666666666667,0.5280898876404494,0.48739495798319327,0.3032258064516129,0.4,0.2,0.5,-0.07660305161757765,0.06666666666666667,0.43333333333333335,0.0,0.23076923076923078,0.0,0.21428571428571427,0.6,0.5,0.035331450046801896,0.1,0.4,0.3333333333333333,0.6666666666666666,0.07142857142857142,0.5
