Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.5136186770428015,0.8566666666666667,-0.2280332848120058,0.13666666666666666,0.72,0.6341463414634146,0.49074074074074076,0.15853658536585366,0.7794117647058824,0.4782608695652174,0.7666666666666667,-0.027210001111258438,0.36666666666666664,0.4,0.36363636363636365,0.5833333333333334,0.36363636363636365,0.3684210526315789,0.55,0.6666666666666666,-0.023248158453084332,0.4,0.26666666666666666,0.5,0.625,0.42857142857142855,0.3125
1,0.4158415841584158,0.6733333333333333,-0.7714752300088284,0.24333333333333335,0.43,0.4657534246575342,0.3875968992248062,0.2073170731707317,0.36764705882352944,0.6190476190476191,0.7,0.049722541158482084,0.13333333333333333,0.5666666666666667,0.5,0.6470588235294118,0.18181818181818182,0.5789473684210527,0.42105263157894735,0.6333333333333333,-0.10020396001270673,0.26666666666666666,0.36666666666666664,0.375,0.45454545454545453,0.21428571428571427,0.3125
2,0.48292682926829267,0.6833333333333333,-0.38311121084452204,0.21333333333333335,0.47,0.515625,0.46808510638297873,0.20121951219512196,0.4852941176470588,0.65,0.6666666666666666,0.07363045557747573,0.1,0.5666666666666667,0.6666666666666666,0.6470588235294118,0.18181818181818182,0.5789473684210527,0.4,0.6666666666666666,-0.10954571924652548,0.26666666666666666,0.4,0.375,0.4166666666666667,0.21428571428571427,0.3125
3,0.4842105263157895,0.6333333333333333,-0.192993369333134,0.18,0.4533333333333333,0.48148148148148145,0.4852941176470588,0.15853658536585366,0.4852941176470588,0.5714285714285714,0.4666666666666667,0.016566221966410492,0.13333333333333333,0.3333333333333333,0.5,0.6,0.18181818181818182,0.3157894736842105,0.4375,0.5333333333333333,-0.13302439104961072,0.3333333333333333,0.2,0.4,0.5,0.2857142857142857,0.1875
