Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.436,0.8333333333333334,-0.4837190872221163,0.11333333333333333,0.72,0.5882352941176471,0.41203703703703703,0.11363636363636363,0.717741935483871,0.3333333333333333,0.8,-0.05909474195438453,0.4666666666666667,0.3333333333333333,0.42857142857142855,0.2,0.35294117647058826,0.15384615384615385,0.5,0.4666666666666667,-0.014657417281010967,0.23333333333333334,0.23333333333333334,0.7142857142857143,0.2857142857142857,0.2777777777777778,0.16666666666666666
1,0.465,0.6666666666666666,-0.18307647759231874,0.27666666666666667,0.39,0.4939759036144578,0.4444444444444444,0.23295454545454544,0.41935483870967744,0.35294117647058826,0.5666666666666667,-0.02743003226004235,0.3333333333333333,0.23333333333333334,0.4,0.2857142857142857,0.23529411764705882,0.15384615384615385,0.5714285714285714,0.23333333333333334,0.01883070851429817,0.13333333333333333,0.1,0.75,0.3333333333333333,0.16666666666666666,0.08333333333333333
2,0.46875,0.5333333333333333,-0.20897583810441836,0.22,0.31333333333333335,0.5303030303030303,0.425531914893617,0.19886363636363635,0.3225806451612903,0.4,0.5,-0.012728311144858645,0.3333333333333333,0.16666666666666666,0.4,0.4,0.23529411764705882,0.15384615384615385,0.5,0.26666666666666666,0.014345027601415336,0.2,0.06666666666666667,0.6666666666666666,0.0,0.2222222222222222,0.0
3,0.5202702702702703,0.49333333333333335,-0.004282339270079032,0.24666666666666667,0.24666666666666667,0.5540540540540541,0.4864864864864865,0.23295454545454544,0.2903225806451613,0.36363636363636365,0.36666666666666664,-0.02067078626303529,0.16666666666666666,0.2,0.4,0.3333333333333333,0.11764705882352941,0.15384615384615385,0.5,0.2,0.0051454439073397,0.13333333333333333,0.06666666666666667,0.75,0.0,0.16666666666666666,0.0
