Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.48,0.8333333333333334,0.11328909656486617,0.11666666666666667,0.7166666666666667,0.5142857142857142,0.4744186046511628,0.11688311688311688,0.696551724137931,0.4,0.16666666666666666,-0.04317099982591818,0.16666666666666666,0.0,0.4,0,0.13333333333333333,0.0,0.4444444444444444,0.6,0.0016081734699565121,0.36666666666666664,0.23333333333333334,0.45454545454545453,0.42857142857142855,0.35714285714285715,0.1875
1,0.5294117647058824,0.7366666666666667,0.5158638437142167,0.25,0.4866666666666667,0.5733333333333334,0.5068493150684932,0.2792207792207792,0.503448275862069,0.5,0.13333333333333333,-0.03561026904167077,0.13333333333333333,0.0,0.5,0,0.13333333333333333,0.0,0.5384615384615384,0.43333333333333335,0.030706384763659434,0.26666666666666666,0.16666666666666666,0.625,0.4,0.35714285714285715,0.125
2,0.5641025641025641,0.52,0.04475611835951104,0.21333333333333335,0.30666666666666664,0.59375,0.5434782608695652,0.24675324675324675,0.33793103448275863,0.5,0.13333333333333333,-0.03561026904167077,0.13333333333333333,0.0,0.5,0,0.13333333333333333,0.0,0.5833333333333334,0.4,0.04078483778252337,0.26666666666666666,0.13333333333333333,0.625,0.5,0.35714285714285715,0.125
3,0.5398230088495575,0.37666666666666665,0.3098131241091429,0.16,0.21666666666666667,0.5625,0.5230769230769231,0.17532467532467533,0.22758620689655173,0.5,0.13333333333333333,-0.03561026904167077,0.13333333333333333,0.0,0.5,0,0.13333333333333333,0.0,0.5882352941176471,0.5666666666666667,0.04274787728017049,0.26666666666666666,0.3,0.625,0.5555555555555556,0.35714285714285715,0.3125
