Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4251012145748988,0.8233333333333334,-0.2356249839702541,0.08333333333333333,0.74,0.36,0.43243243243243246,0.05555555555555555,0.6956521739130435,0.5652173913043478,0.7666666666666667,0.05970944381624905,0.43333333333333335,0.3333333333333333,0.46153846153846156,0.7,0.46153846153846156,0.4117647058823529,0.8125,0.5333333333333333,0.1011062496623006,0.3333333333333333,0.2,0.8,0.8333333333333334,0.5,0.35714285714285715
1,0.49557522123893805,0.7533333333333333,0.06153132424289506,0.25333333333333335,0.5,0.5263157894736842,0.48,0.24691358024691357,0.5217391304347826,0.6111111111111112,0.6,0.06444727002539806,0.26666666666666666,0.3333333333333333,0.5,0.7,0.3076923076923077,0.4117647058823529,0.875,0.26666666666666666,0.06910205393679993,0.1,0.16666666666666666,1.0,0.8,0.1875,0.2857142857142857
2,0.46568627450980393,0.68,-0.12206318021378694,0.24666666666666667,0.43333333333333335,0.4864864864864865,0.45384615384615384,0.2222222222222222,0.427536231884058,0.7222222222222222,0.6,0.09130061844114294,0.3333333333333333,0.26666666666666666,0.6,0.875,0.46153846153846156,0.4117647058823529,0.6666666666666666,0.2,0.05035789693322937,0.03333333333333333,0.16666666666666666,1.0,0.6,0.0625,0.21428571428571427
3,0.4574468085106383,0.6266666666666667,-0.05757625159878645,0.23666666666666666,0.39,0.4788732394366197,0.4444444444444444,0.20987654320987653,0.37681159420289856,0.6363636363636364,0.7333333333333333,0.03195265286736909,0.3333333333333333,0.4,0.5,0.75,0.38461538461538464,0.5294117647058824,0.6,0.3333333333333333,0.048144599945311964,0.03333333333333333,0.3,1.0,0.5555555555555556,0.0625,0.35714285714285715
