Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.444,0.8333333333333334,-0.6975409858202661,0.13666666666666666,0.6966666666666667,0.36585365853658536,0.45933014354066987,0.1,0.64,0.5294117647058824,0.5666666666666667,0.15199025659886845,0.0,0.5666666666666667,0,0.5294117647058824,0.0,0.5625,0.5833333333333334,0.8,0.11633235594246928,0.5333333333333333,0.26666666666666666,0.5625,0.625,0.6,0.3333333333333333
1,0.5340314136125655,0.6366666666666667,0.558475831107106,0.25333333333333335,0.38333333333333336,0.5657894736842105,0.5130434782608696,0.2866666666666667,0.3933333333333333,0.45,0.6666666666666666,0.12566192257215258,0.03333333333333333,0.6333333333333333,0.0,0.47368421052631576,0.0,0.5625,0.47619047619047616,0.7,0.08131787971147447,0.5333333333333333,0.16666666666666666,0.5,0.4,0.5333333333333333,0.13333333333333333
2,0.504950495049505,0.6733333333333333,-0.16540624938912674,0.28,0.3933333333333333,0.5,0.5084745762711864,0.28,0.4,0.5416666666666666,0.8,0.18001190686352178,0.13333333333333333,0.6666666666666666,0.75,0.5,0.21428571428571427,0.625,0.5416666666666666,0.8,0.1180861802759194,0.5666666666666667,0.23333333333333334,0.5294117647058824,0.5714285714285714,0.6,0.26666666666666666
3,0.4623115577889447,0.6633333333333333,-0.14389396105925936,0.26,0.4033333333333333,0.46153846153846156,0.4628099173553719,0.24,0.37333333333333335,0.52,0.8333333333333334,0.1899343514224617,0.1,0.7333333333333333,0.6666666666666666,0.5,0.14285714285714285,0.6875,0.5652173913043478,0.7666666666666667,0.10105759284880812,0.4,0.36666666666666664,0.5,0.6363636363636364,0.4,0.4666666666666667
