Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.46875,0.7466666666666667,-0.2056965647500818,0.09666666666666666,0.65,0.5517241379310345,0.4564102564102564,0.09696969696969697,0.6592592592592592,0.8333333333333334,0.4,0.0763925509337939,0.26666666666666666,0.13333333333333333,0.875,0.75,0.4375,0.21428571428571427,0.34615384615384615,0.8666666666666667,-0.038034899539465136,0.26666666666666666,0.6,0.25,0.3888888888888889,0.13333333333333333,0.4666666666666667
1,0.489247311827957,0.62,-0.07860615246862077,0.24333333333333335,0.37666666666666665,0.5342465753424658,0.46017699115044247,0.23636363636363636,0.3851851851851852,0.7857142857142857,0.4666666666666667,0.05454296949104377,0.3,0.16666666666666666,0.7777777777777778,0.8,0.4375,0.2857142857142857,0.3333333333333333,0.7,-0.06796907598223152,0.26666666666666666,0.43333333333333335,0.25,0.38461538461538464,0.13333333333333333,0.3333333333333333
2,0.42857142857142855,0.5833333333333334,-0.18289797927541784,0.21666666666666667,0.36666666666666664,0.46153846153846156,0.4090909090909091,0.18181818181818182,0.3333333333333333,0.7857142857142857,0.4666666666666667,0.04740859096543601,0.36666666666666664,0.1,0.7272727272727273,1.0,0.5,0.21428571428571427,0.25,0.4,-0.05417296337920742,0.23333333333333334,0.16666666666666666,0.2857142857142857,0.2,0.13333333333333333,0.06666666666666667
3,0.4539877300613497,0.5433333333333333,-0.17049057275237103,0.22666666666666666,0.31666666666666665,0.5,0.42105263157894735,0.20606060606060606,0.2962962962962963,0.8,0.5,0.06494911922183026,0.36666666666666664,0.13333333333333333,0.7272727272727273,1.0,0.5,0.2857142857142857,0.3,0.3333333333333333,-0.033868082580319786,0.2,0.13333333333333333,0.3333333333333333,0.25,0.13333333333333333,0.06666666666666667
