Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4448818897637795,0.8466666666666667,-0.23924755217637053,0.09666666666666666,0.75,0.5862068965517241,0.4266666666666667,0.09659090909090909,0.7741935483870968,0.6666666666666666,0.2,-0.011463699139457037,0.13333333333333333,0.06666666666666667,0.75,0.5,0.1875,0.07142857142857142,0.34782608695652173,0.7666666666666667,-0.06723018084198085,0.5,0.26666666666666666,0.4666666666666667,0.125,0.3888888888888889,0.08333333333333333
1,0.45098039215686275,0.68,-0.32305497739296357,0.23,0.45,0.5072463768115942,0.4222222222222222,0.19886363636363635,0.4596774193548387,0.5555555555555556,0.3,-0.015341824921517838,0.06666666666666667,0.23333333333333334,1.0,0.42857142857142855,0.125,0.21428571428571427,0.35,0.6666666666666666,-0.06613865356903702,0.3333333333333333,0.3333333333333333,0.5,0.2,0.2777777777777778,0.16666666666666666
2,0.4321608040201005,0.6633333333333333,-0.474344199543727,0.20666666666666667,0.45666666666666667,0.532258064516129,0.38686131386861317,0.1875,0.4274193548387097,0.6666666666666666,0.2,-0.008641534084726454,0.06666666666666667,0.13333333333333333,1.0,0.5,0.125,0.14285714285714285,0.3125,0.5333333333333333,-0.08354354162720033,0.16666666666666666,0.36666666666666664,0.6,0.18181818181818182,0.16666666666666666,0.16666666666666666
3,0.4708994708994709,0.63,-0.06335972880182496,0.19333333333333333,0.43666666666666665,0.5517241379310345,0.4351145038167939,0.18181818181818182,0.4596774193548387,1.0,0.2,0.05554015481353754,0.16666666666666666,0.03333333333333333,1.0,1.0,0.3125,0.07142857142857142,0.35294117647058826,0.5666666666666667,-0.02928858563666982,0.4,0.16666666666666666,0.4166666666666667,0.2,0.2777777777777778,0.08333333333333333
