Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4838709677419355,0.8266666666666667,-0.04881758953695177,0.13,0.6966666666666667,0.46153846153846156,0.4880382775119617,0.11920529801324503,0.6845637583892618,0.5652173913043478,0.7666666666666667,0.010582888239557553,0.7666666666666667,0.0,0.5652173913043478,0,0.8666666666666667,0.0,0.48,0.8333333333333334,-0.0060097769006234045,0.7333333333333333,0.1,0.5,0.3333333333333333,0.6470588235294118,0.07692307692307693
1,0.49214659685863876,0.6366666666666667,0.21681076589741302,0.36,0.27666666666666667,0.48148148148148145,0.5060240963855421,0.3443708609271523,0.28187919463087246,0.5454545454545454,0.7333333333333333,0.0595622846197409,0.36666666666666664,0.36666666666666664,0.5454545454545454,0.5454545454545454,0.4,0.4,0.4074074074074074,0.9,0.00027081478814078557,0.43333333333333335,0.4666666666666667,0.46153846153846156,0.35714285714285715,0.35294117647058826,0.38461538461538464
2,0.5,0.7066666666666667,0.12469623543797977,0.30333333333333334,0.4033333333333333,0.5274725274725275,0.4793388429752066,0.31788079470198677,0.38926174496644295,0.52,0.8333333333333334,0.02398394258646349,0.6,0.23333333333333334,0.5,0.5714285714285714,0.6,0.26666666666666666,0.375,0.8,-0.041930132042774806,0.4666666666666667,0.3333333333333333,0.5,0.2,0.4117647058823529,0.15384615384615385
3,0.4830917874396135,0.69,-0.4141786762524631,0.3,0.39,0.5111111111111111,0.46153846153846156,0.304635761589404,0.3624161073825503,0.625,0.5333333333333333,0.10652224541144202,0.16666666666666666,0.36666666666666664,0.6,0.6363636363636364,0.2,0.4666666666666667,0.1875,0.5333333333333333,-0.06885790594076677,0.1,0.43333333333333335,0.0,0.23076923076923078,0.0,0.23076923076923078
