Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4921875,0.8533333333333334,-0.169837644992342,0.14333333333333334,0.71,0.6511627906976745,0.460093896713615,0.16666666666666666,0.7424242424242424,0.391304347826087,0.7666666666666667,-0.031224222462867657,0.2,0.5666666666666667,0.5,0.35294117647058826,0.16666666666666666,0.5,0.6842105263157895,0.6333333333333333,0.026209865865975283,0.3,0.3333333333333333,0.6666666666666666,0.7,0.375,0.5
1,0.48847926267281105,0.7233333333333334,-0.07168878338843619,0.24666666666666667,0.4766666666666667,0.5945945945945946,0.43356643356643354,0.2619047619047619,0.4696969696969697,0.4444444444444444,0.3,-0.009939288653529287,0.1,0.2,0.6666666666666666,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.6153846153846154,0.43333333333333335,-0.027669997958961252,0.23333333333333334,0.2,0.5714285714285714,0.6666666666666666,0.25,0.2857142857142857
2,0.5375,0.5333333333333333,0.15957877545673613,0.19333333333333333,0.34,0.6206896551724138,0.49019607843137253,0.21428571428571427,0.3787878787878788,0.5714285714285714,0.23333333333333334,0.019580542354379067,0.16666666666666666,0.06666666666666667,0.6,0.5,0.16666666666666666,0.08333333333333333,0.6,0.5,-0.02994387244360617,0.3,0.2,0.5555555555555556,0.6666666666666666,0.3125,0.2857142857142857
3,0.5,0.4866666666666667,0.14049194321856312,0.23333333333333334,0.25333333333333335,0.6,0.40789473684210525,0.25,0.23484848484848486,0.5,0.3333333333333333,-0.00015903424347039202,0.2,0.13333333333333333,0.5,0.5,0.16666666666666666,0.16666666666666666,0.5333333333333333,0.5,-0.03971923921626978,0.26666666666666666,0.23333333333333334,0.5,0.5714285714285714,0.25,0.2857142857142857
