Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.48582995951417,0.8233333333333334,-0.19062411587934822,0.18,0.6433333333333333,0.5370370370370371,0.47150259067357514,0.18354430379746836,0.6408450704225352,0.5,0.4666666666666667,0.021649548174119553,0.03333333333333333,0.43333333333333335,0.0,0.5384615384615384,0.0,0.5384615384615384,0.5,0.4,0.042270147089325916,0.2,0.2,0.5,0.5,0.21428571428571427,0.1875
1,0.4658385093167702,0.5366666666666666,-0.1689728515421525,0.19666666666666666,0.34,0.4915254237288136,0.45098039215686275,0.18354430379746836,0.323943661971831,0.4444444444444444,0.6,-0.013396105464316738,0.36666666666666664,0.23333333333333334,0.5454545454545454,0.2857142857142857,0.35294117647058826,0.15384615384615385,0.55,0.6666666666666666,0.04392131566122576,0.5666666666666667,0.1,0.5294117647058824,0.6666666666666666,0.6428571428571429,0.125
2,0.45454545454545453,0.5866666666666667,-0.17755850511510252,0.3,0.2866666666666667,0.4777777777777778,0.43023255813953487,0.2721518987341772,0.2605633802816901,0.38461538461538464,0.43333333333333335,-0.008666716778489868,0.1,0.3333333333333333,0.3333333333333333,0.4,0.058823529411764705,0.3076923076923077,0.5,0.5333333333333333,0.027570343840062097,0.26666666666666666,0.26666666666666666,0.375,0.625,0.21428571428571427,0.3125
3,0.4748603351955307,0.5966666666666667,-0.20519153473057425,0.22333333333333333,0.37333333333333335,0.5074626865671642,0.45535714285714285,0.21518987341772153,0.3591549295774648,0.5,0.4666666666666667,-0.03298393644158253,0.23333333333333334,0.23333333333333334,0.5714285714285714,0.42857142857142855,0.23529411764705882,0.23076923076923078,0.5555555555555556,0.6,0.0511742543853852,0.36666666666666664,0.23333333333333334,0.45454545454545453,0.7142857142857143,0.35714285714285715,0.3125
