Iteration,trainAccuracy,trainCoverage,trainReward,trainLong%,trainShort%,trainLongAcc,trainShortAcc,trainLongPrec,trainShortPrec,validationAccuracy,validationCoverage,validationReward,validationLong%,validationShort%,validationLongAcc,validationShortAcc,validLongPrec,validShortPrec,testAccuracy,testCoverage,testReward,testLong%,testShort%,testLongAcc,testShortAcc,testLongPrec,testShortPrec
0,0.4548872180451128,0.8866666666666667,-0.2565940346369177,0.21333333333333335,0.6733333333333333,0.59375,0.41089108910891087,0.21714285714285714,0.664,0.5,0.6,-0.1062661559092122,0.36666666666666664,0.23333333333333334,0.36363636363636365,0.7142857142857143,0.2857142857142857,0.3125,0.75,0.4,0.049539307487967144,0.36666666666666664,0.03333333333333333,0.7272727272727273,1.0,0.5,0.07142857142857142
1,0.4669811320754717,0.7066666666666667,-0.6363296996373492,0.31666666666666665,0.39,0.5789473684210527,0.37606837606837606,0.3142857142857143,0.352,0.47619047619047616,0.7,-0.12221836056776199,0.36666666666666664,0.3333333333333333,0.36363636363636365,0.6,0.2857142857142857,0.375,0.8,0.3333333333333333,0.07332209464272613,0.26666666666666666,0.06666666666666667,0.75,1.0,0.375,0.14285714285714285
2,0.5,0.62,-0.3887336666541736,0.24666666666666667,0.37333333333333335,0.5540540540540541,0.4642857142857143,0.2342857142857143,0.416,0.5,0.6666666666666666,-0.07138533254251964,0.3333333333333333,0.3333333333333333,0.4,0.6,0.2857142857142857,0.375,0.75,0.4,0.05976907279547389,0.23333333333333334,0.16666666666666666,0.8571428571428571,0.6,0.375,0.21428571428571427
3,0.44936708860759494,0.5266666666666666,-0.3416910456313786,0.21666666666666667,0.31,0.5538461538461539,0.3763440860215054,0.2057142857142857,0.28,0.42857142857142855,0.7,-0.05809430662154448,0.26666666666666666,0.43333333333333335,0.375,0.46153846153846156,0.21428571428571427,0.375,0.6923076923076923,0.43333333333333335,0.050022838592622354,0.16666666666666666,0.26666666666666666,1.0,0.5,0.3125,0.2857142857142857
